row_id,fixture_id,gameweek,team,team_short,opponent,opponent_short,venue,official_fdr,goals_for,goals_against,goal_difference,xg,xga,xg_difference,global_gd_quintile,global_xgd_quintile,team_gd_quintile,team_xgd_quintile,pre_match_xg_baseline,xg_factor_vs_team_median,defensive_factor_vs_team_median
176:20,176,18,Wolves,WOL,Liverpool,LIV,A,4,1,2,-1,1.07,1.54,-0.47,4,4,3,3,0.9749732620320857,1.4758620689655173,0.8603896103896105
180:19,180,18,West Ham,WHU,Fulham,FUL,H,3,0,1,-1,0.89,1.27,-0.38,4,4,3,3,1.0931550802139036,0.8855721393034827,1.137795275590551
180:10,180,18,Fulham,FUL,West Ham,WHU,A,3,1,0,1,1.27,0.89,0.38,2,2,2,2,1.1690641711229948,1.1390134529147982,1.5898876404494382
174:7,174,18,Chelsea,CHE,Aston Villa,AVL,H,3,1,2,-1,2.14,1.05,1.09,4,1,4,2,1.6036096256684493,1.308868501529052,1.204761904761905
174:2,174,18,Aston Villa,AVL,Chelsea,CHE,A,3,2,1,1,1.05,2.14,-1.09,2,5,2,5,1.1490641711229947,0.9333333333333333,0.5887850467289719
179:17,179,18,Sunderland,SUN,Leeds,LEE,H,2,1,1,0,0.65,2.03,-1.38,3,5,3,5,0.975427807486631,0.7471264367816092,0.6724137931034483
179:11,179,18,Leeds,LEE,Sunderland,SUN,A,3,1,1,0,2.03,0.65,1.38,3,1,2,1,1.4527005347593585,1.4146341463414631,2.0
175:8,175,18,Crystal Palace,CRY,Spurs,TOT,H,3,0,1,-1,1.31,0.84,0.4700000000000001,4,2,4,2,1.5913368983957215,0.8424437299035369,1.648809523809524
175:18,175,18,Spurs,TOT,Crystal Palace,CRY,A,3,1,0,1,0.84,1.31,-0.4700000000000001,2,4,1,4,1.0454278074866312,0.8155339805825242,1.0190839694656488
183:3,183,19,Burnley,BUR,Newcastle,NEW,H,3,1,3,-2,1.06,2.01,-0.9499999999999997,5,4,4,2,1.0209178743961351,1.2254335260115607,0.9950248756218907
183:15,183,19,Newcastle,NEW,Burnley,BUR,A,2,3,1,2,2.01,1.06,0.9499999999999997,1,2,1,2,1.374830917874396,1.372013651877133,1.2358490566037736
184:7,184,19,Chelsea,CHE,Bournemouth,BOU,H,3,2,2,0,2.43,2.94,-0.5099999999999998,3,4,3,4,1.6283091787439614,1.486238532110092,0.43027210884353745
