team,fdr,matches,team_median_xg,mean_xg,median_xg,attack_factor_vs_team_median_xg,team_median_xga,mean_xga,median_xga,defensive_factor_vs_team_median_xga,mean_goal_difference,mean_xg_difference
Everton,3,22,1.065,1.388181818181818,1.44,1.3034571062740075,1.44,1.5772727272727274,1.49,0.9129682997118155,-0.045454545454545456,-0.1890909090909091
Everton,4,7,1.065,0.9842857142857143,0.7,0.9242119382964454,1.44,1.3442857142857143,1.44,1.0712008501594048,0.14285714285714285,-0.36
Everton,5,2,1.065,0.93,0.93,0.8732394366197184,1.44,2.54,2.54,0.5669291338582677,-2.0,-1.6099999999999999
Fulham,1,2,1.115,2.27,2.27,2.0358744394618835,1.415,0.74,0.74,1.9121621621621623,2.5,1.5299999999999998
Fulham,2,5,1.115,1.544,1.59,1.3847533632286997,1.415,1.1940000000000002,1.09,1.1850921273031825,0.4,0.35000000000000003
Fulham,3,22,1.115,1.2263636363636363,1.19,1.0998777007745617,1.415,1.3599999999999999,1.43,1.0404411764705883,0.18181818181818182,-0.1336363636363637
Fulham,4,7,1.115,0.9828571428571429,0.9,0.8814862267777066,1.415,1.5957142857142856,1.59,0.886750223813787,-1.2857142857142858,-0.6128571428571429
Fulham,5,2,1.115,0.895,0.895,0.8026905829596412,1.415,2.295,2.295,0.6165577342047931,-3.0,-1.4000000000000001
Leeds,1,2,1.435,2.23,2.23,1.5540069686411149,1.3,0.57,0.57,2.2807017543859653,2.5,1.66
Leeds,2,4,1.435,1.4375,1.3199999999999998,1.0017421602787455,1.3,0.9349999999999999,0.755,1.3903743315508024,0.0,0.5025
Leeds,3,23,1.435,1.5130434782608697,1.44,1.0543856991364946,1.3,1.3469565217391304,1.11,0.9651387992253068,0.043478260869565216,0.16608695652173913
Leeds,4,7,1.435,1.08,0.81,0.7526132404181185,1.3,1.9600000000000002,2.0,0.6632653061224489,-1.0,-0.8799999999999999
Leeds,5,2,1.435,0.855,0.855,0.5958188153310104,1.3,2.99,2.99,0.43478260869565216,-3.0,-2.135
Liverpool,1,2,1.565,2.3600000000000003,2.3600000000000003,1.5079872204472846,1.0550000000000002,0.7350000000000001,0.7350000000000001,1.435374149659864,0.5,1.625
Liverpool,2,5,1.565,1.986,1.9,1.2690095846645368,1.0550000000000002,0.708,0.44,1.4901129943502829,0.6,1.278
Liverpool,3,23,1.565,1.6952173913043482,1.73,1.0832060008334494,1.0550000000000002,1.232173913043478,1.04,0.8562103034580103,0.6086956521739131,0.46304347826086967
Liverpool,4,6,1.565,1.0,0.98,0.6389776357827476,1.0550000000000002,1.9916666666666665,2.255,0.5297071129707114,-0.8333333333333334,-0.9916666666666666
Liverpool,5,2,1.565,0.45999999999999996,0.45999999999999996,0.2939297124600639,1.0550000000000002,1.04,1.04,1.014423076923077,-1.5,-0.58
Man City,1,2,2.0149999999999997,1.4449999999999998,1.4449999999999998,0.71712158808933,0.98,0.51,0.51,1.9215686274509802,3.0,0.9349999999999999
Man City,2,5,2.0149999999999997,2.734,2.47,1.3568238213399506,0.98,0.892,0.74,1.0986547085201794,2.4,1.842
Man City,3,24,2.0149999999999997,1.8783333333333332,2.04,0.9321753515301903,0.98,1.1608333333333332,1.01,0.8442211055276383,1.0833333333333333,0.7174999999999999
Man City,4,6,2.0149999999999997,1.5066666666666668,1.42,0.7477253928866834,0.98,1.7433333333333334,1.935,0.5621414913957935,-0.3333333333333333,-0.23666666666666666
Man City,5,1,2.0149999999999997,0.87,0.87,0.43176178660049636,0.98,0.89,0.89,1.101123595505618,0.0,-0.020000000000000018
Man Utd,1,2,1.55,2.2199999999999998,2.2199999999999998,1.432258064516129,1.145,1.1099999999999999,1.1099999999999999,1.0315315315315317,0.5,1.1099999999999999
Man Utd,2,5,1.55,2.312,1.84,1.4916129032258063,1.145,0.944,0.71,1.2129237288135595,0.8,1.368
Man Utd,3,23,1.55,1.6021739130434782,1.48,1.0336605890603086,1.145,1.2582608695652173,1.17,0.909986178299931,0.5217391304347826,0.3439130434782609
Man Utd,4,6,1.55,1.6449999999999998,1.5899999999999999,1.061290322580645,1.145,1.3533333333333335,1.165,0.8460591133004925,0.6666666666666666,0.2916666666666667
Man Utd,5,2,1.55,1.115,1.115,0.7193548387096774,1.145,1.91,1.91,0.599476439790576,-1.0,-0.7949999999999999
Newcastle,1,2,1.4649999999999999,1.72,1.72,1.1740614334470991,1.31,1.0550000000000002,1.0550000000000002,1.2417061611374407,1.0,0.6649999999999999
Newcastle,2,5,1.4649999999999999,1.6759999999999997,1.73,1.144027303754266,1.31,1.328,1.06,0.9864457831325301,0.8,0.3479999999999999
Newcastle,3,22,1.4649999999999999,1.6336363636363636,1.75,1.1151101458268695,1.31,1.4145454545454546,1.435,0.9260925449871465,-0.045454545454545456,0.21909090909090911
Newcastle,4,7,1.4649999999999999,1.0585714285714285,1.18,0.7225743539736714,1.31,1.3785714285714286,1.27,0.950259067357513,-0.7142857142857143,-0.32
Newcastle,5,2,1.4649999999999999,0.81,0.81,0.5529010238907851,1.31,0.92,0.92,1.423913043478261,-1.0,-0.11000000000000004
